ADAA	0
ADAB	1
ADAC	2
ADAD	3
ADBA	4
ADBB	5
ADBC	6
ADBD	7
ADCA	8
ADCB	9
ADCC	:
ADCD	;
ADDA	<
ADDB	=
ADDC	>
ADDD	?
BAAA	@

BAAB	A
BAAC	B
BAAD	C
BABA	D
BABB	E
BABC	F
BABD	G
BACA	H
BACB	I
BACC	J
BACD	K
BADA	L
BADB	M
BADC	N
BADD	O
BBAA	P
BBAB	Q
BBAC	R
BBAD	S
BBBA	T
BBBB	U
BBBC	V
BBBD	W
BBCA	X
BBCB	Y
BBCC	Z

BBCD	[
BBDA	\
BBDB	]
BBDC	^
BBDD	_
BCAA	`

BCAB	a
BCAC	b
BCAD	c
BCBA	d
BCBB	e
BCBC	f
BCBD	g
BCCA	h
BCCB	i
BCCC	j
BCCD	k
BCDA	l
BCDB	m
BCDC	n
BCDD	o
BDAA	p
BDAB	q
BDAC	r
BDAD	s
BDBA	t
BDBB	u
BDBC	v
BDBD	w
BDCA	x
BDCB	y
BDCC	z

BDCD	{
BDDA	|
BDDB	}
BDDC	~
BDDD	DEL
